| Relación                           | Cardinalidad | Descripción                                                                 |
| ---------------------------------- | -----------: | --------------------------------------------------------------------------- |
| Resolver carga Contrato            |          1:N | Un resolver usa varios contratos para resolver una solicitud.               |
| Resolver usa Relación              |          1:N | Un resolver compone relaciones para seleccionar contexto mínimo aplicable.   |
| Resolver determina Estado          |          1:N | Un resolver devuelve estados derivados de relaciones, evidencia y límites.   |
| Contrato formaliza Entidad         |          1:N | Una entidad puede tener múltiples versiones de contrato.                    |
| Contrato formaliza Relación        |          1:N | Una relación puede tener múltiples versiones de contrato.                   |
| Workflow compone WorkflowStep      |          N:M | Un workflow compone bloques reutilizables de proceso.                       |
| Workflow ordena WorkflowStep       |          N:M | Un workflow ubica sus pasos mediante relación.                              |
| Workflow avanza a Workflow         |          N:M | Un workflow puede habilitar otro workflow dentro del ciclo de vida.         |
| Workflow usa Plantilla             |          N:M | Un workflow puede usar plantillas para salidas o reportes de proceso.       |
| WorkflowStep participa en Workflow |          N:M | Un bloque reutilizable puede participar en varios workflows.                |
| WorkflowStep delega Actor          |          N:M | Un paso delega ejecución a actores sin copiar sus capacidades.              |
| WorkflowStep delega Rol            |          N:M | Un paso delega lente profesional a roles sin copiar sus reglas.             |
| WorkflowStep avanza a WorkflowStep |          N:M | Un paso puede tener siguiente paso, bifurcaciones o repetición.             |
| WorkflowStep avanza a Workflow     |          N:M | Un paso final puede habilitar otro workflow.                                |
| WorkflowStep espera Artefacto      |          N:M | Un paso declara artefactos esperados sin producirlos directamente.          |
| Rol aplica Regla                   |          N:M | Un rol puede tener reglas de conducta o criterio profesional.               |
| Rol usa Plantilla                  |          N:M | Un rol puede usar plantillas adecuadas a su lente profesional.              |
| Rol es compatible con Actor        |          N:M | Un rol puede ser compatible con varios actores y superficies.               |
| Actor ejecuta Acción               |          N:M | Un actor puede ejecutar varias acciones si sus límites lo permiten.         |
| Actor tiene Límite                 |          N:M | Los límites del actor definen capacidad real.                               |
| Actor usa Fuente                   |          N:M | Un actor puede consultar fuentes permitidas por sus relaciones y límites.   |
| Acción actúa sobre Recurso         |          N:M | Una acción puede operar sobre varios tipos de recurso.                      |
| Acción ocurre dentro de Scope      |          N:M | Una acción solo es válida dentro de un alcance.                             |
| Acción produce Artefacto           |          N:M | Una acción puede producir artefactos como resultado de ejecución.           |
| Scope incluye Recurso              |          N:M | Un scope define qué recursos entran o quedan fuera.                         |
| Fuente provee Evidencia            |          1:N | Una fuente puede producir muchas evidencias.                                |
| Evidencia refiere Recurso          |          N:M | Una evidencia puede apuntar a uno o más recursos.                           |
| Límite falla en Estado             |          N:1 | Si un límite se rompe, lleva a un estado como `blocked`.                    |
| Regla falla en Estado              |          N:1 | Si una regla no se cumple, lleva a un estado definido.                      |
| Variable parametriza Plantilla     |          N:M | Variables rellenan o modifican plantillas.                                  |
| Variable parametriza Workflow      |          N:M | Variables pueden afectar idioma, repo, branch pattern, etc.                 |
| Variable parametriza Contrato      |          N:M | Variables pueden parametrizar contratos sin duplicar su estructura.         |
| Plantilla genera Artefacto         |          1:N | Una plantilla puede generar muchos artefactos.                              |
| Artefacto se asocia a Recurso      |          N:M | Un artefacto puede documentar o modificar recursos.                         |
